X,Y,id,snow.auc,snow.av,2023-07-02,2023-07-12,2023-07-18,2023-07-26
639285,7691775,15,6.90713055555556,0.308222222222222,0.957605555555556,0.192119444444444,0.0831638888888889,0
639315,7691775,16,10.5592805555556,0.429577083333333,0.985086111111111,0.501352777777778,0.23185,1.94444444444444e-05
639285,7691745,26,0.737722222222222,0.0368875,0.147522222222222,0,0,2.77777777777778e-05
639315,7691745,27,0.511388888888889,0.0255694444444444,0.102277777777778,0,0,0
639345,7691745,28,9.30324722222222,0.386109027777778,0.951425,0.395069444444444,0.197933333333333,8.33333333333333e-06
639375,7691745,29,4.70535833333333,0.228207638888889,0.86445,0.0444444444444444,0.00393611111111111,0
639405,7691745,30,2.20647222222222,0.110323611111111,0.441294444444444,0,0,0
639255,7691715,36,3.40844980587909,0.140443011647255,0.29277592900721,0.15287853577371,0.0856905158069883,0.0304270660011093
639285,7691715,37,3.30389166666667,0.14059375,0.397647222222222,0.162561111111111,0.00216666666666667,0
639315,7691715,38,3.96813888888889,0.172225,0.450241666666667,0.121163888888889,0.0925472222222222,0.0249472222222222
639345,7691715,39,3.67977777777778,0.183597222222222,0.731680555555556,0.00241666666666667,0.000291666666666667,0
639375,7691715,40,0.0236138888888889,0.00117152777777778,0.00453611111111111,0,0.000111111111111111,3.88888888888889e-05
639405,7691715,41,3.425375,0.17126875,0.685075,0,0,0
639435,7691715,42,5.40091111111111,0.262528472222222,1,0.0501138888888889,0,0
639465,7691715,43,5.90460277777778,0.278265972222222,0.999969444444444,0.113094444444444,0,0
639255,7691685,47,5.15508262712451,0.209669270018632,0.353127483035761,0.22918541200052,0.176835058596183,0.0795291264420641
639285,7691685,48,4.8848918469218,0.21898433166944,0.698308374930671,0.149947310038824,0.027681641708264,0
639315,7691685,49,7.46696062118691,0.32276622296173,0.715058236272879,0.244215196894065,0.203594009983361,0.128197448696617
639345,7691685,50,9.25263727121464,0.374743483083749,0.630790349417637,0.418147531891292,0.317787021630616,0.132249029395452
639375,7691685,51,1.51145313366611,0.0649202717692734,0.178114254021076,0.0539905712701054,0.0262174154187465,0.00135884636716583
639405,7691685,52,1.76288130892956,0.0881440654464781,0.352576261785912,0,0,0
639435,7691685,53,3.95515806988353,0.197757903494176,0.791031613976706,0,0,0
639465,7691685,54,4.99914032168608,0.249957016084304,0.999828064337216,0,0,0
639255,7691655,58,2.52106211869107,0.126053105934554,0.504212423738214,0,0,0
639285,7691655,59,4.644575,0.232185416666667,0.928452777777778,0.000288888888888889,0,0
639315,7691655,60,2.92661111111111,0.146330555555556,0.585322222222222,0,0,0
639345,7691655,61,1.11018333333333,0.0545916666666667,0.211497222222222,0.00461111111111111,0.00225833333333333,0
639375,7691655,62,4.42114722222222,0.204204166666667,0.698386111111111,0.100202777777778,0.0182277777777778,0
639405,7691655,63,2.34846388888889,0.111221527777778,0.403072222222222,0.0404055555555556,0.00140833333333333,0
639435,7691655,64,4.60734166666667,0.22926875,0.909752777777778,0.00732222222222222,0,0
639465,7691655,65,4.445125,0.22225625,0.889025,0,0,0
639255,7691625,69,1.41780366056572,0.0708901830282862,0.283560732113145,0,0,0
639285,7691625,70,3.78216666666667,0.189108333333333,0.756433333333333,0,0,0
639315,7691625,71,0.476513888888889,0.0238256944444444,0.0953027777777778,0,0,0
639345,7691625,72,1.38433333333333,0.0692166666666667,0.276866666666667,0,0,0
639375,7691625,73,4.12901388888889,0.206450694444444,0.825802777777778,0,0,0
639405,7691625,74,4.32973055555556,0.215288194444444,0.853163888888889,0.00798888888888889,0,0
639435,7691625,75,5.44509722222222,0.259609027777778,0.953983333333333,0.0840111111111111,0.000441666666666667,0
639255,7691595,80,3.74687742651137,0.184378813089296,0.717748197448697,0.0197670549084859,0,0
639285,7691595,81,1.18830555555556,0.0594152777777778,0.237661111111111,0,0,0
639315,7691595,82,0.0155555555555556,0.000777777777777778,0.00311111111111111,0,0,0
639345,7691595,83,1.59606944444444,0.0798034722222222,0.319213888888889,0,0,0
639375,7691595,84,2.58811388888889,0.129371527777778,0.517161111111111,3.33333333333333e-05,0.000291666666666667,0
639405,7691595,85,5.13418333333333,0.24894375,0.944005555555556,0.0517694444444444,0,0
639435,7691595,86,3.74270833333333,0.187135416666667,0.748541666666667,0,0,0
639255,7691565,91,0.739023849140322,0.0361778979478647,0.139556295063783,0.0051552967276761,0,0
639285,7691565,92,0,0,0,0,0,0
639315,7691565,93,1.01141666666667,0.0505708333333333,0.202283333333333,0,0,0
639345,7691565,94,1.55491666666667,0.0777458333333333,0.310983333333333,0,0,0
639375,7691565,95,6.11084166666667,0.269965972222222,0.834141666666667,0.220077777777778,0.0256444444444444,0
639405,7691565,96,3.87286944444444,0.171978472222222,0.543480555555556,0.144433333333333,0,0
639435,7691565,97,3.924125,0.19620625,0.784825,0,0,0
639255,7691535,102,0.113602329450915,0.00568011647254576,0.022720465890183,0,0,0
639285,7691535,103,1.19458333333333,0.0597291666666667,0.238916666666667,0,0,0
639315,7691535,104,4.03807222222222,0.185596527777778,0.633672222222222,0.108713888888889,0,0
639345,7691535,105,5.77846111111111,0.267610416666667,0.928277777777778,0.141925,0.000238888888888889,0
639375,7691535,106,5.95596944444444,0.25470625,0.727030555555556,0.278255555555556,0.0135388888888889,0
639405,7691535,107,0.538555555555556,0.0269277777777778,0.107711111111111,0,0,0
639435,7691535,108,0.0035,0.000175,0.0007,0,0,0
639225,7691505,112,1.88213888888889,0.0941069444444444,0.376427777777778,0,0,0
639255,7691505,113,2.62232390460344,0.131116195230172,0.524464780920688,0,0,0
639285,7691505,114,4.70853611111111,0.227836805555556,0.860747222222222,0.0506,0,0
639315,7691505,115,2.88561944444444,0.121703472222222,0.330991666666667,0.139905555555556,0.0159166666666667,0
639345,7691505,116,0.513733333333333,0.0224451388888889,0.0659111111111111,0.0170916666666667,0.00677777777777778,0
639375,7691505,117,0.0945972222222222,0.00472986111111111,0.0189194444444444,0,0,0
639405,7691505,118,0.0771944444444444,0.00385972222222222,0.0154388888888889,0,0,0
639225,7691475,123,1.68773611111111,0.0843868055555556,0.337547222222222,0,0,0
639255,7691475,124,2.13051026067665,0.10652592900721,0.426070438158624,0,8.31946755407654e-06,2.49584026622296e-05
639285,7691475,125,0.356777777777778,0.0178388888888889,0.0713555555555556,0,0,0
639315,7691475,126,0.121375,0.00606875,0.024275,0,0,0
639345,7691475,127,2.39643333333333,0.110091666666667,0.374561111111111,0.0629888888888889,0.00281666666666667,0
639375,7691475,128,6.39744444444444,0.262829166666667,0.622952777777778,0.284133333333333,0.144230555555556,0
639405,7691475,129,5.14634444444444,0.209020833333333,0.470038888888889,0.234813888888889,0.130905555555556,0.000325
639225,7691445,134,5.05190833333333,0.2120125,0.549277777777778,0.214113888888889,0.0846583333333333,0
639255,7691445,135,5.71328341652801,0.235345257903494,0.567706600110926,0.259029395452024,0.114645036051026,0
639285,7691445,136,7.68049166666667,0.309002777777778,0.552036111111111,0.351336111111111,0.259688888888889,0.07295
639315,7691445,137,11.7791,0.482529861111111,0.908,0.527905555555556,0.346333333333333,0.147880555555556
639345,7691445,138,8.50797222222222,0.352895138888889,0.809622222222222,0.340286111111111,0.230294444444444,0.0313777777777778
